Model,Model_Size_kB,mAP@50,mAP@50-95,Inference_Min_us,Inference_Mean_us,Inference_Max_us,Inference_Std_us,RAM_Used_kB,RAM_Percent,Current_Min_A,Current_Mean_A,Current_Max_A,Current_Std_A,Power_Mean_W,RAM_Total_kB
Original,460.77,0.3114771378713821,0.1467808445069199,39498,39499.29,39501,0.5,245,74.52,0.087824,0.0967,0.09897,0.0038,0.4962,330
Tiny,78.66,0.0287454321074218,0.0145678329467773,9938,9939.02,9940,0.37,220,66.94,0.08738,0.0958,0.09854,0.0038,0.493,330
Medium,216.32,0.0823456789012345,0.0367890123456789,11550,11550.68,11552,0.48,220,66.94,0.08795,0.0961,0.0985,0.0037,0.4929,330
Large,434.19,0.1343210987654321,0.0789012345678901,13732,13732.99,13734,0.44,240,73.0,0.088,0.0963,0.09875,0.0035,0.494,330
