time,cpu,ram,temp,status_active,status_occurred,fan_cur,fan_max
11:24:08,1.0,26.0,47.95,,,1,4
11:24:08,1.0,26.0,47.4,,,1,4
11:24:09,5.0,26.1,47.95,,,1,4
11:24:10,0.5,26.2,47.95,,,1,4
11:24:10,1.5,26.1,47.95,,,1,4
11:24:11,0.0,26.1,47.4,,,1,4
11:24:11,2.5,26.1,47.4,,,1,4
11:24:12,1.5,26.2,47.95,,,1,4
11:24:12,0.5,26.1,48.5,,,1,4
11:24:13,0.5,26.1,46.85,,,1,4
11:24:13,0.5,26.1,47.4,,,1,4
11:24:14,4.0,26.1,46.85,,,1,4
11:24:14,1.5,26.1,46.85,,,1,4
11:24:15,0.5,26.1,47.4,,,1,4
11:24:15,0.5,26.1,46.85,,,1,4
11:24:16,4.9,26.1,46.3,,,1,4
11:24:16,0.0,26.1,47.4,,,1,4
11:24:17,0.0,26.1,46.85,,,1,4
11:24:17,2.0,26.0,46.3,,,1,4
11:24:18,3.5,26.0,46.85,,,1,4
11:24:18,0.5,26.0,46.3,,,1,4
11:24:19,1.0,26.0,47.4,,,1,4
11:24:19,2.0,26.0,47.4,,,1,4
11:24:20,4.0,26.1,46.85,,,1,4
11:24:20,0.5,26.0,47.4,,,1,4
11:24:21,1.0,26.0,46.85,,,1,4
11:24:21,0.5,26.0,46.85,,,1,4
11:24:22,4.0,26.0,47.4,,,1,4
11:24:22,1.0,26.0,47.4,,,1,4
11:24:23,1.0,26.0,47.95,,,1,4
11:24:23,1.5,26.0,47.4,,,1,4
11:24:24,3.5,26.0,47.4,,,1,4
11:24:24,2.0,26.0,45.75,,,1,4
11:24:25,0.0,26.0,46.3,,,1,4
11:24:25,1.0,26.0,47.95,,,1,4
11:24:26,3.5,26.0,45.75,,,1,4
11:24:26,0.5,26.0,46.3,,,1,4
11:24:27,0.0,26.0,46.85,,,1,4
11:24:27,2.0,26.0,46.85,,,1,4
11:24:28,3.5,26.0,46.85,,,1,4
11:24:28,4.0,25.8,46.85,,,1,4
11:24:29,0.0,25.8,47.4,,,1,4
11:24:29,1.5,25.9,47.95,,,1,4
11:24:30,2.5,25.9,47.95,,,1,4
11:24:30,1.0,25.8,47.95,,,1,4
11:24:31,1.0,25.8,47.4,,,1,4
11:24:31,0.5,25.8,47.95,,,1,4
11:24:32,3.5,25.8,48.5,,,1,4
11:24:32,1.0,25.8,47.95,,,1,4
11:24:33,0.0,25.8,47.95,,,1,4
11:24:33,1.0,25.8,47.95,,,1,4
11:24:34,11.4,25.8,48.5,,,1,4
11:24:34,10.9,25.8,47.95,,,1,4
11:24:35,0.0,25.8,48.5,,,1,4
11:24:35,0.0,25.8,47.4,,,1,4
11:24:36,2.5,25.8,48.5,,,1,4
11:24:36,0.5,25.8,48.5,,,1,4
11:24:37,0.5,25.8,48.5,,,1,4
11:24:37,0.5,25.8,47.95,,,1,4
11:24:38,0.5,25.8,48.5,,,1,4
11:24:38,2.5,25.8,48.5,,,1,4
11:24:39,0.0,25.8,48.5,,,1,4
11:24:39,1.5,25.8,46.85,,,1,4
11:24:40,0.5,25.8,46.85,,,1,4
11:24:40,4.5,25.8,47.95,,,1,4
11:24:41,0.0,25.8,47.4,,,1,4
11:24:41,1.0,25.8,46.85,,,1,4
11:24:42,0.5,25.8,47.4,,,1,4
11:24:42,4.0,25.8,47.95,,,1,4
11:24:43,0.0,25.8,47.4,,,1,4
11:24:43,0.5,25.8,46.85,,,1,4
11:24:44,0.0,25.8,46.85,,,1,4
11:24:44,5.0,25.8,47.4,,,1,4
11:24:45,0.0,25.8,47.4,,,1,4
11:24:45,1.0,25.8,47.4,,,1,4
11:24:46,0.5,25.8,46.3,,,1,4
11:24:46,4.5,25.8,47.4,,,1,4
11:24:47,1.0,25.8,46.85,,,1,4
11:24:47,0.5,25.8,47.4,,,1,4
11:24:48,0.5,25.8,47.4,,,1,4
11:24:48,4.5,25.8,47.4,,,1,4
11:24:49,0.5,25.8,45.75,,,1,4
11:24:49,2.0,25.9,47.4,,,1,4
11:24:50,0.5,25.9,47.4,,,1,4
11:24:50,5.0,25.9,46.3,,,1,4
11:24:51,1.0,25.9,46.85,,,1,4
11:24:51,1.0,25.8,46.3,,,1,4
11:24:52,0.5,25.8,47.95,,,1,4
11:24:52,5.0,25.8,46.3,,,1,4
11:24:53,0.5,25.8,47.4,,,1,4
11:24:53,1.0,25.8,46.85,,,1,4
11:24:54,1.5,25.8,46.85,,,1,4
11:24:54,3.5,25.8,47.4,,,1,4
11:24:55,1.0,25.8,47.4,,,1,4
11:24:55,0.0,25.8,46.85,,,1,4
11:24:56,0.0,25.8,46.3,,,1,4
11:24:56,3.5,25.8,46.85,,,1,4
11:24:57,1.5,25.8,47.4,,,1,4
11:24:57,0.0,25.8,46.3,,,1,4
11:24:58,1.0,25.8,46.3,,,1,4
11:24:58,3.5,25.8,46.85,,,1,4
11:24:59,2.0,25.8,46.3,,,1,4
11:24:59,0.0,25.8,46.85,,,1,4
11:25:00,1.0,25.8,47.4,,,1,4
11:25:00,1.0,25.8,47.95,,,1,4
11:25:01,4.4,25.8,46.3,,,1,4
11:25:01,0.5,25.8,47.95,,,1,4
11:25:02,1.5,25.8,47.4,,,1,4
11:25:02,1.0,25.8,46.3,,,1,4
11:25:03,3.5,25.8,46.85,,,1,4
11:25:04,0.5,25.8,47.4,,,1,4
11:25:04,2.0,25.9,46.85,,,1,4
11:25:05,1.0,25.9,46.3,,,1,4
11:25:05,4.9,25.8,46.85,,,1,4
11:25:06,2.5,25.8,46.85,,,1,4
11:25:06,0.5,25.8,46.85,,,1,4
11:25:07,1.0,25.8,46.85,,,1,4
11:25:07,4.5,25.8,45.75,,,1,4
11:25:08,1.5,25.8,47.4,,,1,4
