time,cpu,ram,temp,status_active,status_occurred,fan_cur,fan_max
11:37:48,12.4,28.2,52.35,,,1,4
11:37:48,12.5,28.2,51.8,,,1,4
11:37:49,17.9,28.3,52.35,,,1,4
11:37:49,11.1,28.3,51.25,,,1,4
11:37:50,12.3,28.3,51.25,,,1,4
11:37:50,11.1,28.3,51.8,,,1,4
11:37:51,18.1,28.2,51.8,,,1,4
11:37:51,14.9,28.2,51.25,,,1,4
11:37:52,16.4,28.2,50.7,,,1,4
11:37:52,14.6,28.2,50.7,,,1,4
11:37:53,17.4,28.2,51.25,,,1,4
11:37:53,14.4,28.1,50.7,,,1,4
11:37:54,14.1,28.2,51.25,,,1,4
11:37:54,14.9,28.2,51.25,,,1,4
11:37:55,17.1,28.2,51.8,,,1,4
11:37:55,13.5,28.1,51.25,,,1,4
11:37:56,13.9,28.1,50.7,,,1,4
11:37:56,14.4,28.1,51.25,,,1,4
11:37:57,17.2,28.1,51.25,,,1,4
11:37:58,14.8,28.1,50.7,,,1,4
11:37:58,14.1,28.1,51.25,,,1,4
11:37:59,14.4,28.1,51.25,,,1,4
11:37:59,17.7,28.2,52.35,,,1,4
11:38:00,13.9,28.1,50.7,,,1,4
11:38:00,14.0,28.2,50.7,,,1,4
11:38:01,13.1,28.1,51.25,,,1,4
11:38:01,15.7,28.1,50.15,,,1,4
11:38:02,13.0,28.1,51.8,,,1,4
11:38:02,14.5,28.1,51.8,,,1,4
11:38:03,14.4,28.1,51.8,,,1,4
11:38:03,16.7,28.1,51.25,,,1,4
11:38:04,11.4,28.1,51.25,,,1,4
11:38:04,11.6,28.2,51.25,,,1,4
11:38:05,10.6,28.2,52.35,,,1,4
11:38:05,13.0,28.2,51.25,,,1,4
11:38:06,12.0,28.2,51.25,,,1,4
11:38:06,10.6,28.2,52.35,,,1,4
11:38:07,11.1,28.2,52.35,,,1,4
11:38:07,13.4,28.2,51.8,,,1,4
11:38:08,14.0,28.3,52.9,,,1,4
11:38:08,13.3,28.2,52.35,,,1,4
11:38:09,14.0,28.2,52.35,,,1,4
11:38:09,14.5,28.2,51.25,,,1,4
11:38:10,16.5,28.2,52.9,,,1,4
11:38:10,15.8,28.2,52.35,,,1,4
11:38:11,13.9,28.2,51.25,,,1,4
11:38:11,13.5,28.1,51.8,,,1,4
11:38:12,16.9,28.1,51.8,,,1,4
11:38:12,13.6,28.2,51.8,,,1,4
11:38:13,14.4,28.2,51.8,,,1,4
11:38:13,13.6,28.3,51.8,,,1,4
11:38:14,16.5,28.3,51.25,,,1,4
11:38:14,14.1,28.3,51.25,,,1,4
11:38:15,15.3,28.3,51.8,,,1,4
11:38:15,14.6,28.2,51.25,,,1,4
11:38:16,33.5,28.2,52.35,,,1,4
11:38:16,11.8,28.2,52.9,,,1,4
11:38:17,10.6,28.2,54.0,,,1,4
11:38:17,12.4,28.2,52.35,,,1,4
11:38:18,14.4,28.2,52.9,,,1,4
11:38:18,11.1,28.2,52.35,,,1,4
11:38:19,10.6,28.2,52.35,,,1,4
11:38:19,11.9,28.2,52.35,,,1,4
11:38:20,14.4,28.2,54.0,,,1,4
11:38:20,11.4,28.2,52.9,,,1,4
11:38:21,13.0,28.2,52.35,,,1,4
11:38:21,13.6,28.2,51.8,,,1,4
11:38:22,18.4,28.2,52.35,,,1,4
11:38:22,15.4,28.2,53.45,,,1,4
11:38:23,15.9,28.2,52.35,,,1,4
11:38:23,14.5,28.2,51.25,,,1,4
11:38:24,17.5,28.2,52.9,,,1,4
11:38:24,16.5,28.2,50.7,,,1,4
11:38:25,14.9,28.2,51.25,,,1,4
11:38:25,15.4,28.2,50.7,,,1,4
11:38:26,14.1,28.2,51.8,,,1,4
11:38:26,17.9,28.2,52.35,,,1,4
11:38:27,14.4,28.2,51.8,,,1,4
11:38:27,15.1,28.2,51.25,,,1,4
11:38:28,15.9,28.1,51.8,,,1,4
11:38:28,18.4,28.2,52.35,,,1,4
11:38:29,14.0,28.2,51.8,,,1,4
11:38:29,16.0,28.2,51.8,,,1,4
11:38:30,14.9,28.2,51.8,,,1,4
